sybil_address,account_type
0xbe168c1cad2b09af1ca02aa6fef724bc63cab82a,satellite
0x7e5278a4ad2fa54a76ee03744be5bfa01e9f793a,satellite
0xf8b928db79e99cc144f21dd955ef1bd8e29853f8,satellite
0xf585234f7666a10b9355f0ecfa9a7c5490616ca6,satellite
0x047f507aff4e0de152415b3e122761dcea189ca1,satellite
0x1fbb828bcbd4f794e1e0dfc4fe0e979b85e5b8ae,core
0xd372e66d0010fa0c38a98276046cc2822b492a09,satellite
0xda1e015e072404b33f766bed2df088472be169b8,satellite
0x043616d4f7b5c35fc456fe2f61e3eaae3825d6fc,satellite
0x3954cf576392939bf0c565f58e77dcc18d43509a,core
0x130dab9ab815ceb464187bd6b0c8b11eecb9e4b2,satellite
0xcae63d38082c50b3fdd263394ee77d70770523ec,satellite
0x8d4f9614ecb947099f91e4846365e1daf7908533,satellite
0xe019234997b85b46df9325386794d269565bb806,core
0x1d5d1dd54566418b30e8fa3af71b3560943181e5,satellite
0xff9b5f885afbff929f235a0b8f1cbabad31424c5,satellite
0xcafd7c6893e145a7c27937182ec88fbcdf33d9fa,satellite
0xfc382efebcac816353ecc9190178aa8831e45525,core
0xc1b74e919cf792239359604f3e80455c9a215a1d,satellite
0x8e07e301bc58b2b9de9f4bb0b09adf8ded899fb6,core
0x971807386ba5f3836076848bbe82027bf6971ac4,core
0x8bbc459516e9b5cd36f253f5f2e084172a0d446c,satellite
0xaeacc224cc4fac2e44e8aa125df05b13c9e854f7,satellite
0x913eac25c71d5efc0990a2b24a425013848e7c8f,satellite
0x0b1a7c6f445f88aee61630eb292c02c913a8f8e7,satellite
0xa640afd7b614431d5e6c58ffff20934c6fd22816,core
0xb138d83afd9974aca8acb4d47e3967cb179d8d26,satellite
0x928198118075ff997e85d9c3052c331649b907cf,satellite
0x998e3e07451bf8f7d815a6f995e292b7d943279c,core
0x63398522c7963f57f45c1ec9f44d8050e64ae161,satellite
0xd66524da5181a17a4458814964437d66813e006e,satellite
0xcf1a04787f342006c369560d638a02d0de87325c,satellite
0x11fd93c2e303d85035201812b164063a90311072,satellite
0xc16b242f60e9bb317b6e53f3b71eec84714e7238,satellite
0xa1139a7ed38cab8cb27488e94a6bf9e4f896a60d,satellite
0xc48a00582d4e623ef1cf2c3eef84484279ace9bb,satellite
0x7b038d697a69b1d4d7ea72a416478a3c502e7dba,core
0x4fe3e822a9008363af2a3774d8eb509b46a19559,satellite
0x0ac2afed734a62a1a6837e5c080e0a685eb4c92f,satellite
0x623286aec7e86606d3d9e5f1b9006727f1247b10,core
0x250791e37e5055aa785a58c01959e91051ecb6b7,satellite
0xd5fea1853ab1fc921bf55c0776f33ba7f6dc5104,satellite
0xcef4ee457e73d95e54a8d3826acd396265f9d8fc,satellite
0xb13f50888517e926723f46ea3b11729bd1b5af49,satellite
0x15310dfa0ae5190ba502208cf3c74cdb98b04f80,satellite
0x83dd9659f0ad2ae6a8f5e813ab59348ba3055d39,satellite
0xad4f945a7afd5385b63c8429c492178199ebf4be,core
0x108a04f6d4ea0b3a56c124aa7fdb0a897a8c31cc,satellite
0xad6ef864eab48bfcb5d43c64d1d8442785a4e5f0,core
0xc8ea81a555a4990e0bc9d14d930046604e362321,satellite
0x60f205827f782ad7aad7a51e6e93b3b9ea2652f6,satellite
0xe101d02b0a8420cbbbe8a24dad96811a49256dce,core
0xcf0c65fd3ff0869a56f9afa85131137d41ac1cb7,satellite
0x19a01894d3138dbfaea39d9d17fc8dc99f994997,satellite
0xe84a65f1a7f87e3ce5e648c6bd7c5a570f643c76,satellite
0xa4dbcf6c8147a39b28f108db1811a16f5ccaa4f9,satellite
0x4d13a79a7888c08bd952ad160925f8f7ede5b34c,core
0xfaa4ec8d19bd5b8a516c706e4b63a6978e76e2c6,satellite
0x1405ff793859d036af8689bc65711ff6182182d4,satellite
0x42a3286d32c780f1fb6ad1cdb05999f6e8aa10d5,satellite
0x14ea3e7c229bbb9d84ba2a7ac20a3260730b0674,core
0x1ab56a3de2439858b58e409d3cef34822cef7e63,satellite
0x1a426b7d136fbaac81418f1dec77e9333c280d7a,satellite
0xe5c3d7ffb47f2392eb646ae82e59859ba890487a,core
0x0c7723fe3394809da79fcb82c55be01047920488,satellite
0xdcd15777e0314548056e26c1a62fba035eadc9cc,satellite
0x987353a370bb43e61f68a50d10b8a7ee8d1b97f5,core
0xbc34cba45885cf6a69faf9c8c9fe14dfc2ca81c9,satellite
0x4179b633f5e7c9d2dc21acce3effa3767f5c4c72,core
0x8d470921050899284b451d6a65f4204eee4aaf8f,core
0x43111f46f35a43e57587a171e81ad183b0fb19f3,satellite
0xc72424ef3882a1be31d3a78a5597925723a7a8c9,satellite
0x9765c788098aa7f13b04506ab76b3bd677992b96,satellite
0xc120ab7977bdda3b57f191dbf41a1af7da794baa,core
0x7af91cc664841f22e00f32efbd08c75da629d011,core
0xf596f33b88d86e085a262c7c3c509d12efd8b26f,core
0x7f6de17c5612ff73f98ac525ea047ca24337ab96,satellite
0x8649466d166066798d43d530060c94beef3a8e93,satellite
0x668e4beac0a1ffa820d87c82a60a87a38bcee212,core
0xab9c49a1a2f4fb2963d8c41ca4d215cf382973c7,satellite
0x935e9f0a0b56bd6fb3af95d1d22b87c72492ba23,satellite
0x64999e50e728120a6bccea4db5b337c89e33bc2f,core
0xd07a8000d18f3a42963d4f94993165683c6ed46a,core
0x18172b7b0f435f0d698d61c6294ea87099fdf906,satellite
0x37ad6f3e93a1c4b1bdf64ce4cbc223b7253705d3,satellite
0x15c27ed229c6c345748603ea5dd53f6eb18b7eb7,core
0x9313d9dbf5baa8e9c4862ed09e7602f33b5fb0e2,satellite
0xa16ace9679aa7a2d38f7b6ed01846c349114cc9b,satellite
0x15aa896f7d83d088019cad9ce7c3c2242d28b456,satellite
0x028bc438a3e7cbae8e5fce54401bf792da520f80,satellite
0x2019ffb7eb03bf356a96e8379849c65cc4e44e84,satellite
0x62212d145a0683ba37cd375132c8dd6b8574f56e,satellite
0x18f4d7190a17f5de72bacd56994f17cb9a1b67e7,satellite
0x7edf3f30984115d3793c2bbd4401b29852781b89,satellite
0xbc6ec29575e077c65631eb289b031c48c47d0954,satellite
0xdb4bc17f708779a80f4b141c7fe202b103f5de2b,satellite
0x6b489990c8f0c0632ba55d97094948d7ed367a70,satellite
0xb863678b56f02c42a1171a9e19946c9a513be2f7,satellite
0x50deea160b785b3ed0197d6cbb292aa6a46eef75,satellite
0x77fba84ce4d3b8bf6e5196cd1338f9b2f02ca9ff,core
0x2ad53edd4d0b1af25fa7745d915cf8fac5cba6d5,satellite
0xa910db57902a0e94bc966255e9f594211dc2686f,core
0xe8f86426609848d5ef0d9294db0902dbb8df4b5b,core
0xdd74aaca879c597edaec6d680b890f3d847300b9,core
0xd423f31cf6d8988848337ad9082bb2741dd26b12,satellite
0x09af4c41b9658ac197ff39020154e4f20b1500e3,satellite
0xa61bc1a80a8e9fb7985e7f87c03fc96c8d2980b4,satellite
0xad81123e3de36e8ba6a6f69db72e5959c9829026,satellite
0x8cd18a49ae7ddcd85548296cc955134fe1d9277b,satellite
0x7f40df0c87d4a75e17ae66c29049b72de6cad649,satellite
